,Date,Open,High,Low,Close,Volume
187,10/19/2020,"1,580.46","1,588.15","1,528.00","1,534.61","1,607,075"
188,10/16/2020,"1,565.85","1,581.13","1,563.00","1,573.01","1,435,137"
189,10/15/2020,"1,547.15","1,575.11","1,545.03","1,559.13","1,540,817"
190,10/14/2020,"1,578.59","1,587.68","1,550.53","1,568.08","1,930,990"
191,10/13/2020,"1,583.73","1,590.00","1,563.20","1,571.68","1,601,043"
192,10/12/2020,"1,543.00","1,593.86","1,532.57","1,569.15","2,482,560"
193,10/09/2020,"1,494.70","1,516.52","1,489.45","1,515.22","1,435,542"
194,10/08/2020,"1,465.09","1,490.00","1,465.09","1,485.93","1,187,831"
195,10/07/2020,"1,464.29","1,468.96","1,436.00","1,460.29","1,746,156"
196,10/06/2020,"1,475.58","1,486.76","1,448.59","1,453.44","1,245,423"
197,10/05/2020,"1,466.21","1,488.21","1,464.27","1,486.02","1,113,257"
198,10/02/2020,"1,462.03","1,483.20","1,450.92","1,458.42","1,284,071"
199,10/01/2020,"1,484.27","1,499.04","1,479.21","1,490.09","1,779,497"
200,09/30/2020,"1,466.80","1,489.75","1,459.88","1,469.60","1,701,608"
201,09/29/2020,"1,470.39","1,476.66","1,458.81","1,469.33","979,102"
202,09/28/2020,"1,474.21","1,476.80","1,449.30","1,464.52","2,007,941"
203,09/25/2020,"1,432.63","1,450.00","1,413.34","1,444.96","1,323,375"
204,09/24/2020,"1,411.03","1,443.71","1,409.85","1,428.29","1,450,216"
205,09/23/2020,"1,458.78","1,460.96","1,407.70","1,415.21","1,657,350"
206,09/22/2020,"1,450.09","1,469.52","1,434.53","1,465.46","1,583,201"
207,09/21/2020,"1,440.06","1,448.36","1,406.55","1,431.16","2,888,827"
208,09/18/2020,"1,498.01","1,503.00","1,437.13","1,459.99","3,103,882"
209,09/17/2020,"1,496.00","1,508.30","1,470.00","1,495.53","1,879,751"
210,09/16/2020,"1,555.54","1,562.00","1,519.82","1,520.90","1,312,299"
211,09/15/2020,"1,536.00","1,559.57","1,531.84","1,541.44","1,331,082"
212,09/14/2020,"1,539.01","1,564.00","1,515.74","1,519.28","1,696,589"
213,09/11/2020,"1,536.00","1,575.20","1,497.36","1,520.72","1,597,087"
214,09/10/2020,"1,560.64","1,584.08","1,525.81","1,532.02","1,618,557"
215,09/09/2020,"1,557.53","1,569.00","1,536.05","1,556.96","1,774,704"
216,09/08/2020,"1,533.51","1,563.87","1,528.01","1,532.39","2,610,884"
217,09/04/2020,"1,624.26","1,645.11","1,547.61","1,591.04","2,608,568"
218,09/03/2020,"1,709.71","1,709.71","1,615.06","1,641.84","3,107,763"
219,09/02/2020,"1,673.78","1,733.18","1,666.33","1,728.28","2,511,180"
220,09/01/2020,"1,636.63","1,665.73","1,632.22","1,660.71","1,826,655"
221,08/31/2020,"1,647.89","1,647.97","1,630.31","1,634.18","1,823,406"
222,08/28/2020,"1,633.49","1,647.17","1,630.75","1,644.41","1,499,782"
223,08/27/2020,"1,653.68","1,655.00","1,625.75","1,634.33","1,861,602"
224,08/26/2020,"1,608.00","1,659.22","1,603.60","1,652.38","3,581,072"
225,08/25/2020,"1,582.07","1,611.62","1,582.07","1,608.22","2,132,084"
226,08/24/2020,"1,593.98","1,614.17","1,580.57","1,588.20","1,410,229"
227,08/21/2020,"1,577.03","1,597.72","1,568.01","1,580.42","1,446,453"
228,08/20/2020,"1,543.45","1,585.87","1,538.20","1,581.75","1,706,877"
229,08/19/2020,"1,553.31","1,573.68","1,543.95","1,547.53","1,660,611"
230,08/18/2020,"1,526.18","1,562.47","1,523.71","1,558.60","2,027,086"
231,08/17/2020,"1,514.67","1,525.61","1,507.97","1,517.98","1,378,600"
232,08/14/2020,"1,515.66","1,521.90","1,502.88","1,507.73","1,355,200"
233,08/13/2020,"1,510.34","1,537.25","1,508.01","1,518.45","1,455,208"
234,08/12/2020,"1,485.58","1,512.39","1,485.25","1,506.62","1,437,655"
235,08/11/2020,"1,492.44","1,510.00","1,478.00","1,480.32","1,454,365"
236,08/10/2020,"1,487.18","1,504.08","1,473.08","1,496.10","1,289,530"
